script	collected	source	omniglot
Cherokee	Anna Verdieva	Montgomery-Anderson, 2008: 31-107	http://www.omniglot.com/writing/cherokee.htm
Mkhedruli(Georgian)	Antonina Sinelnik	Aronson, Howard I. (1990). Georgian: a reading grammar	http://www.omniglot.com/writing/georgian2.htm
Hangul (Korean)	Antonina Sinelnik	"Lee, Hyun Bok (1999). ""Korean"". Handbook of the International Phonetic Association"	http://www.omniglot.com/writing/korean.htm
Armenian	Antonina Sinelnik	Dum-Tragut, Jasmine (2009). Armenian: Modern Eastern Armenian	http://www.omniglot.com/writing/armenian.htm
Amharic	Anna Verdieva	Leslau 1995: 4–5	http://www.omniglot.com/writing/amharic.htm
Buryat	Vyacheslav Ivanov	Sanzheev (red.) (1962) Grammatica buryatskogo yazika: Fonetica i morfologiya / Red. G.D. Sanzheev. Moscow	http://www.omniglot.com/writing/cyrillic.htm
Khakas	Vyacheslav Ivanov	Dyrenkova N. P. (1948) Grammatica khakasskogo yazika. Abakan	http://www.omniglot.com/writing/cyrillic.htm
Tuvan	Vyacheslav Ivanov	Iskhakov, F. G., Palmbakh, A. A. (1961) Grammatica tuvinskogo yazika. Fonetica i morfologiya. Moscow	http://www.omniglot.com/writing/cyrillic.htm
Yakut	Vyacheslav Ivanov	Kharitonov, L. N. (1947) Sovremennyj yakutskij yazyk: Fonetika i morfologiya. Yakutsk	http://www.omniglot.com/writing/cyrillic.htm
Shor	Vyacheslav Ivanov	Dyrenkova N. P. (1941) Grammatika shorskogo yazyka. Moscow, Leningrad	http://www.omniglot.com/writing/cyrillic.htm
Kalmyk	Vyacheslav Ivanov	Sanzheev G. D. (red.) Grammatika kalmytskogo yazyka. Fonetika i morfologiya. Elista	http://www.omniglot.com/writing/cyrillic.htm
Bashkir	Vyacheslav Ivanov	Yuldashev, A. A. (red.) (1981) Grammatika sovremennogo bashkirskogo literaturnogo yazyka. Moscow	http://www.omniglot.com/writing/cyrillic.htm
Tibetan	Anna Verdieva	Tournade N. (2003) Manual of Standard Tibetan - Language and Civilization/ Nicolas Tournade, Sangda Dorje - Ithaca, NY: Snow Lion Publications.	http://www.omniglot.com/writing/tibetan.htm
Tamil	Anna Verdieva	Andronov, M. S. (1965). The Tamil Language. Nauka.	http://www.omniglot.com/writing/tamil.htm
Mongolian	Vyacheslav Ivanov	Todaeva, B. Kh. (1951) Grammatika sovremennogo mongolskogo yazika. Moscow	http://www.omniglot.com/writing/mongolian.htm
Hiragana	Kanami Tobe	Labrune, L. (2012). The phonology of Japanese. Oxford University Press.	https://www.omniglot.com/writing/japanese_hiragana.htm
Katakana	Kanami Tobe	Labrune, L. (2012). The phonology of Japanese. Oxford University Press.	https://www.omniglot.com/writing/japanese_katakana.htm
